aconto	adresse	boligtype	delevenlig	depositum	etage	forudbetalt_leje	husdyr_tilladt	indflytningspris	lejeperiode	mŒnedlig_leje	m¿bleret	oprettelsesdato	overtagelsesdato	st¿rrelse	v¾relser	longitude	latitude
	Cortex Park, 5230 Odense M 	Lejlighed	Ja	22500	1. sal		Nej	30000	Ubegr¾nset	7500	Nej	24/08/2018	snarest	72	2	10,4307407	55,3740591
520	Holbergsgade, 9000 Aalborg 	Lejlighed	Nej	27600	2. sal	9200	Nej	46520	Ubegr¾nset	9200	Nej	23/10/2018	ikke snarest	102	3	9,9148725	57,0501395
	Svalegangen, 9380 Vestbjerg	Lejlighed	Nej	25050	-	8350	Ja	41750	Ubegr¾nset	8350	Nej	20/02/2017	ikke snarest	116	5	9,9548935	57,1372124
0	Klostergade, 7770 Vestervig 	Lejlighed	Ja	9300	1. sal	0	Ja	12400	Ubegr¾nset	3100	Nej	28/09/2018	snarest	70	3	8,3207811	56,7627402
880	Fyensgade, 9000 Aalborg 	Lejlighed	Nej	22485	2. sal	7495	Nej	38355	Ubegr¾nset	7495	Nej	25/10/2018	snarest	95	3	9,9379923	57,042563
600	Smedegade, 8700 Horsens 	Lejlighed	Nej	17520	2. sal	0	Nej	23960	Ubegr¾nset	5840	Nej	25/10/2018	snarest	56	2	9,8482087	55,8635389
300	Park All, 8000 Aarhus C 	Lejlighed	Nej	25701	1. sal	25701	Nej	60269	Ubegr¾nset	8567	Nej	18/09/2018	ikke snarest	65	2	10,2039333	56,1529678
900	Jyllandsgade, 9000 Aalborg 	Lejlighed	Nej	29400	4. sal	9800	Nej	49900	Ubegr¾nset	9800	Nej	12/04/2018	snarest	126	3	9,9251282	57,0425038
1100	Stenvej, 8270 H¿jbjerg 	Lejlighed	Nej	34410	1. sal	11470	Nej	58450	Ubegr¾nset	11470	Nej	31/10/2018	snarest	135	4	10,204532	56,1070438
1200	Dyngbyvej, 8300 Odder	Villa	Nej	26100	-	8700	Nej	44700	2+ Œr	8700	Nej	29/08/2018	ikke snarest	144	3	10,2326069	55,9633336
0	Engelundsvej, 8260 Viby J	R¾kkehus	Nej	25245	-	8415	Ja	42075	Ubegr¾nset	8415	Nej	27/10/2018	snarest	60	2		
0	Weidekampsgade, 2300 K¿benhavn S 	Lejlighed	Ja	58125	stuen	58125	Nej	135625	1-2 Œr	19375	Nej	24/10/2018	snarest	119	4	12,5834379	55,6667922
850	Bredgade, 9830 TŒrs	Lejlighed	Nej	7800	-	0	Nej	11250	Ubegr¾nset	2600	Nej	05/09/2018	snarest	40	2	10,1197053	57,3837407
0	Kristianiagade, 2100 K¿benhavn ¯ 	V¾relse	Nej	14700	2. sal	0	Nej	19600	1-2 Œr	4900	Nej	09/10/2018	snarest	10	1	12,585728	55,6936289
500	M¿lleparken, 8660 Skanderborg 	Lejlighed	Ja	27000	stuen	9000	Nej	45500	Ubegr¾nset	9000	Nej	08/10/2018	snarest	96	3	9,919018	56,0394487
